,text
50,[deleted]
51,Flirt right back at him. 
52,Not in Europe.  It's already happened.....I think.
53,You know damn well I dun run out of dick.
54,"I once got dumped because she wasn't feeling the chemistry. I was hideously inexperienced for my age at the time, so I didn't understand what she meant, especially since our conversational rapport was excellent.

It was the physical chemistry. I was a bad kisser, and didn't really know how to escalate the sexual intensity of a situation very much. She, more experienced, had become accustomed to not needing to say, ""I'd like more of this or less of that"" in direct terms. She might not have felt comfortable doing so at all.

So she broke up with me. But went out with me twice after. Then we faded because there was no way at the time I could handle her fuckin' other dudes and whining to me about it.

I eventually learned. Small bits of advice here and there, small bits of feedback from partners in requests every now and again; the biggest being to start slow then ramp up while reading how they respond and respond in kind from there. It's like a jam session together.

In general, I'm a quick study. Partners not long after her really let me know they appreciated my skills and struggle to imagine what a much clumsier, clueless version of me looks like. I used to wonder from time to time what it would be like if I had more experience before meeting her, but that's life."
55,[deleted]
56,Show me somethin ' natural like afro on Richard Pryor
57,My kids like Minecraft. 
58,"When she isn't present, approach your roommate about this. Ask them if they intend to make this constant/permanent. My rule of thumb has been two consistent weeks if it happens without communication between roommates, and a month if it happens with communication between roommates. These may be arbitrary lengths of time, but nobody should be staying in your home without your consent (rather, consent of all legal tenants). Is it okay with you if she were to officially move in? Why or why not? Talk about this sort of thing with your roommate to see what they're thinking. All in all, it's just a courtesy that you are owed and would owe them if the roles were reversed. 

I consider it a matter of protecting yourself from your landlord. Depending on your state/county/city codes, your landlord could decide to evict you two on the basis of the extra person, or assess whatever the deposit would be. Protect yourself. (Not a lawyer. Just some dude on the Internet.) 

Edit: Words"
59,"Generally speaking, men make the first move, women don't. "
60,"Okay, so here's the story:

We met when we were 18. I thought he was so cute and he thought I was... I dunno, adorable and easy to read (he'd had a hard time with mixed signals from ladies before). We started dating and we were together for about two years. 

Then he started kind of ghosting me (before there was really a word for it), and I had had enough so I finally got him to meet up with me for long enough for us to have a conversation. Which is when he said, ""I don't think I'll ever love you. At least, not the way you love me.""

It was really painful but it was also very honest. Which I respected. So we didn't talk for a total of 23 hours and then we started trying to repair our friendship. 

Skip forward two and a half years. Apparently, he's been regretting the decision for almost two whole years, but I'd been dating other people and so had he. We had stayed friends and we ended becoming really close and we spent a lot of time together just as a couple of buddies. Until one night.

It was about four in the morning and we were working on math homework, and he kind of blurts out that he has feelings for me and he understands if i don't reciprocate and he feels awful for what he said and blah blah blah. I had never really gotten over him because, for all our faults, we had been a great couple. And he was a great SO. So we decided to give it another go.

We got married yesterday. It all worked out. "
61,"Tidy the place, fresh bed sheets, baby wipes in the bathroom, cut and file your finger nails and get some snacks/drinks. 
Just relax and enjoy yourselves. "
62,"To /u/JustHalfBlack : I'm nobody and know nothing, but talking to her about it might make her feel even worse than she already feels. I think this is one of those times where if she doesen't bring it up, then maybe it's best to not ask.. 

I really don't know. If you're as young as you claim then you don't understand women yet, they motherfucking complex son. 



To OP: I don't know the right thing, but make sure that you will be able to live with yourself with whatever thing you chose to do.

 Best wishes to you and your wife, man, really. "
63,"Their nationality. I've heard so much ""oh I have that _______ attitude / personality / temper"" 

Newsflash : people of every race, creed, culture, religion, country of birth can be assholes. "
64,"Here's the thing, as part of my job I get background checks run on me on a pretty regular basis, it honestly doesn't phase me to have one run on me in a professional setting.

But this isn't a professional setting. It's honestly kinda creepy. More than that, it's a major red flag that you don't trust me from the outset.

Furthermore, using work resources to run background checks on people in your personal life violates a lot of professional and ethical standards."
65,"* Remember things she says, even the little ones. 
* Do her favors. 
* Give her compliments and remind her what makes you crazy about her.
* Surprise her with small gifts or a nice dinner after a tough day. 
* Listen to her even when she's ranting about stuff. Sometimes she just wants a listening ear rather than logical advice. 
* Flirt with her a lot. 
* Don't put your penis in other women. "
66,"Your breaking one of the big social rules:

1. Never compare yourself to other people, it can be incredibly self-destructive.

2. Do compare yourself to your best self, are you working towards improving yourself, were their great moments or lessons or experiences you want to re-experience.

3. Just let it go.

Here's the deep stuff.

If your self-image your perception of who you are, and what kind of person you are is dependent on how other people see you, then all you are is a reflection of other people's ideas and beliefs and theories.

Be your own self, experience lots of life, so you know what reflects things, ideas, beliefs that you value.

I used to obsess about this as well, being handicapped, and not losing my virginity till I was 32. It made me feel like I was less a man.

No what harmed me was not the lack of sex, it was my own deluded perception, that I was less of a man because of being a virgin.

Stop that crap. It is such a waste of a life, to focus always on what your not, or what others think you should be or do.

Be you, be your best self, that is a reflection of who you truly are."
67,"I can weigh in on the legality of this one.  Turns out you are never allowed to do the whole ""draw straws"" thing.  A court case came up (from England) where they used the defence of necessity for killing someone when they were stranded.  The court said the correct thing to do was to sacrifice yourself (they made a direct reference to Jesus) rather than choosing to kill someone else."
68,"""Fuck you!""

She's said ""Fuck this"" and ""Fuck that"" or ""Fuck off"" but she *never* said ""Fuck you"". We've had our share of married people arguments (going on 15 years) but nothing had ever reached the level hate to elicit those two words.

I can't even remember what the argument was about now. "
69,When she's excited to be with me/general enthusiasm. I met a girl not too long ago who was literally skipping around me when we were exploring stuff.
70,"Because everyone coddles kids and makes them feel really good, and it's great to remind them that you are bigger, stronger, and just overall better than them at everything."
71,"I've experienced this before. I feel like that in this day and age, at least in American culture, it's the woman's responsibility to tell flirting dude to back off. That covers both you and her, so you don't have to look like a macho/insecure/jealous guy."
72,Bro how the fuck do you flirt
73,"My brother and I were raised by my mother. Although my father was involved, he lived elsewhere. I saw him every other weekend or so.

Being raised in the way that I was made my standards for a romantic partner quite a bit higher than most people's. My mother managed to raise my brother and i without being dependent on anyone, and she's a former gang banger, so she wasn't weepy and emotional.

I expect women to be emotionally resilient and independent...I cannot date someone needy or overly sensitive..it just comes off as childish, because my mom and grandma are some of the strongest people I know.

If my grandma could survive and leave an abusive marriage and raise my mom, who raised two men alone in abject poverty, I have zero emotional bandwidth for you crying because I left the toilet seat up or went somewhere without you."
74,"OP, it's a trap. "
75,Took me a while to realize you were talking about shaggy.
76,I kind of want to bang my intern.
77,"Oh, you mean veteran, not veterinarian,  I was confused for a while there. "
78,"It's great, because you can even cook them on the smoke signal fire they built!"
79,"I am a university student who occasionally has girls over (not a lie I swear. But maybe a humble brag). I'll compile you a short list of things to do.

1. Clean the bathroom. This means no skid marks, clean sink, no piss residue on the floor, and most importantly a bag in the garbage. Trust me on that last one. Nothing say's ""This guys fucks"" like having a place for tampons to be cleanly put in.

1.   Clean your bedroom. When is the last time you cleaned your sheets and pillow case? I do it before if I know I'm going to have a woman over, and then probably after sometimes... Probably why my backne is flairing... Anyways not only is it good hygiene, it will remove the funky smell from your room. Also pick up any clothes on the floor and tidy up whatever shit you have in your room. I personally don't hide my amiibos, superscope, and retro game consoles. But you might want to if you are trying to hide your power level.

3.  Clean literally anywhere else she will be. I like to start things in the living room and then move things into the bedroom. Because of this I either have to clean all the shared living spaces or blame all the mess on my roommate. It is also a smart idea to hide any of your roommate's stuff that will make them look cooler than you.

4. Communicate with your roommate. If you haven't picked up on it I'm using roommate as synonymous with housemate. Anyways you will probably tell them to stay out of the living room, or to be out of the house if you know for a fact that they cannot socialize or are bigger than you. It's also probably smart to ask if they mind if you have a girl over for the night and then disregard their wishes if it's a no.

5.  You will need to plan activities. This is a way to show off your passions, do something casually to get them in the mood, or to get to know them better. It also shows that you care about spending non-sex time with her. You and her both know that's a lie but she will probably appreciate it. I personally like to pull out some retro games and dazzle women with Shaq-Fu, Micheal Jackson Moonwalker (I'm just bragging that I own this game. Don't play it with women), and or whatever side scroller beat-em up I want to play. The most important thing is that whatever you do you are low key competing but still forced to work together. Other ideas you can use are netflix, cook a meal together, show her you rock collection, or drink.

6. At this point you want to go back in time to at least six months ago and hit the gym. The gym will make you feel inadequate and make her orgasm the only thing your ego resides on, while simultaneously making you kind of more attractive. The lowered self esteem of surrounding yourself with guys bigger than you will also probably make you more eager to please her in bed. 

That's all I can think of now. Hopefully this helps. If you have any questions feel free to ask. This list is also by no ways exhaustive so if someone else can help out, that'd be cool."
80,"Pros of having an SO:

-Consistent sex

-Emotional support

Cons of having an SO:

-Loss of personal free time

-Having to compromise on certain things

-Possible breakup can lead to depression

Pros of not having a SO:

-Freedom 

-Able to sleep around with multiple people 

Cons of not having an SO:

-Loneliness

-Not having a partner to lean on for support during tough times "
81,[deleted]
82,"""I was drunk"" 

You made a decision to drink and that doesn't magically make you not responsible for the results of your drinking. If this isn't fair, you don't have to drink. "
83,"""Pretty gay to have my dick in your mouth, bro. Pretty gay."""
84,TIL: boobs are attractive to anyone at any age.
85,"It always feels good to teach someone a valuable life lesson.

The blocked shot is also a great setup for your breakaway tomahawk dunk that busts the backboard off the neighbor kid's plastic fisher price hoop."
86,"Nice try, Buzzfeed."
87,Kindly ask them to leave? Seamen are notoriously responsive to polite behavior. 
88,"This made me laugh.

Married ... Olive Garden ... basic white, cotton underpants ... But maybe, just maybe, something really cool that you don't even know about. 

If there was a way for me to refill your salad bowl and bread basket, I would. I would.    "
89,"I hate when I'm trying to pay attention to a conversation but can't help my dirty thoughts, like when I'm trying to order lunch but the girl behind the counter is even remotely attractive. Also, when you're driving along and in the distance you see a cute girl but the closer you get you realize you risk a lifetime of introducing yourself door to door as a sex offender."
90,"This is probably unexpected here but I think it's the most hurtful and shocking thing I've ever heard my SO say to me. We were in couples counseling on my recommendation. I'm a vet with ""issues"" (of course). It came out in our one and only session that she was afraid I would hurt her. I was a nurse that had to deal with the violence of war every day, to hurt her was unthinkable. But fueling the fire of her fear is that I've been practicing martial arts since I was 16. I've been known to destroy some inanimate objects before the war. I love her, we've been married a LONG time, but I don't think I will ever not remember her saying that. "
91,That's the lowest energy reee I've ever seen. It's the helpless noise a frog makes when you drive a truck over it.
92,[deleted]
93,Exactly. No one likes games.
94,"My 6yo boy put his head on my chest while watching tv the other day and absentmindedly put his hand up and started squishing one of my boobs. I resisted the urge to freak out and just asked him gently what he was doing. He said ""theyre soft and squishy and feel nice"" which, to be fair, is very true. I just had a conversation with him about how he hadn't done anything wrong, but he needed to understand that boobs are private and he can't go round touching all the boobs just because they feel nice. He seemed to get it pretty well."
95,lol this made me chuckle a bit.
96,"Yeah, she couldn't even bother to speak with proper grammar when she told him."
97,HAHAHAHA YES YES I TOO WAS COMPLETELY FOOLED AND THOUGHT MY MEMORY HAD MALFUNCTIONED  
98,My SO says I'm super annoying. 
99,"If she asked to touch, that was her hitting on you. 

I've never been hit on so I can't add anymore haha^fml"
100,Wow good luck mate!
101,"Exactly. This was my line in the sand. 

Having said that: if it was prearranged (e.g. She left her laptop there and can't wait for the SO to finish work and they arrange a key pick up to go in, get what she needs then leaves), then that is ok. Just nothin habitual about her having a key."
102,"When she's fun to have around, keeps the conversation going instead of making me do it all, and if she has a passion for something."
103,"Good Lord, it was so loud she heard it over the phone!?  Did you have it on speaker or something?  Well, let's add that to the Don't List:  don't talk to a new girl on speaker phone.

Either that or you've got a shotgun for a butthole."
104,"""You don't understand me.""

I don't have to understand your motivations to know that you're being an asshole to me."
105,you mean you sleep a little bitter 
106,so they're saying just have everyone die
107,"It really, really depends on your temperament and your specific SO. A great SO is like a cheat code making life better -- the good times more meaningful and the hard times more tolerable. A good SO is your teammate and works with you to build a great shared life. A good SO doesn't control you, because you two are compatible and agree on what should be going on. (In other words, any necessary compromises are typically small ones, not big ones, since you're compatible.) A good SO is an awesome communicator.

A good SO is your best friend. It's great. 

There are almost only pros when you're with someone like that.

But most people aren't in relationships like that. And being in a bad relationship makes literally every other thing in life far worse. It's better to be single than to be in a bad relationship. Or even a mediocre one. "
108,Physical chemistry sucks man. Nobody I've ever met did well in that class.
109,"She laughed, that is good. Good chance you have a mature adult there. Someone who said nothing or made a big deal about it is less likely to be someone you want to be long term with. I would see this as a green flag. I hope you share many more farts together. And raise many children who produce truck loads of pooey nappies. This is perhaps the first disgusting thing you share. Hopefully not the last. "
110,[deleted]
111,"This is great advice. Honestly, half the problem is how oblivious the couple often acts to it. Being at least self-aware about how much you're around means a lot. 

It's kinda like if a workmate gave you a ride to work every day. Sure, they are going there anyway and doesn't cost them extra in gas, but the simple gesture of putting up a little gas money now and again shows you're aware of their effort."
112,"You could use your butt like a vagina to get a decent idea. 

"
113,[deleted]
114,"Like 20 minutes. My pubes got stuck in her braces and it hurt like a butt cheek on a stick and so i wouldn't let her move her head until I got all my pubes free from her mouth metal. Eventually she got fed up with it and yanked her head away. I cried, she left, we broke up, I shave now."
115,"I've been good at sex... only bc we could communicate. My last gf who I was seriously in love with I had the worst sex with. She didn't make a noise, wouldn't laugh, wouldn't talk or anything. Starfished. It sucked when it came to sex.

Edit: 

To finish my answer to OP. 

I was terrible at sex. I avoided women after some failures, drank a lot. Partied and made sex only when I was drunk and stumbled through the entire thing. It wasn't until one of those hookups turned into a girl who wanted to keep trying. It was marginal at best... but it showed me physically it had nothing to do with it.

I am ruthlessly dating. I stopped making amends with women that don't fit my mold. I LOVE a woman who I can communicate with. If she is one of these ""there is nothing funny about ____"" women, then I feel like I cannot communicate honestly. 

Physically, I have an typical above average dong... I mean it's no dad dick. So, this may have been my only saving grace when I was younger because everything I did to a girl was awkward and didn't make for good sex.

Along with communication, women want to be understood and have an intimate relationship and connection. Be open about your feelings and emotions and understand how a woman feels... then you can identify when she wants to be desired, or pursued or just straight up taken control of. Then it's usually less to do about penetration but about reading and feeling and treating her the way she wants to be treated, when she wants to feel that way. Communication is cool with a chick who knows what she wants, especially if you can be honest in the same way. Some chicks will be like ""I want to smother you with my pussy""... and you might be the guy to say ""I want to choke you with my cock""

Plus... sex is different than a relationship, it's a lot more raw, and that's why it's fun. So just have fun OP. Just read about that dude with a micropenis, he still has a decent... but strange sex life."
116, Babeasaur. Like bulbasaur or a dinosaur but cooler
117,"Seriously. FILE YOUR FINGERNAILS. I've had to ask guys to stop in the middle of getting freaky, because let's face it: lady bits are tender, and we don't need your sharp nails going all Saw down there. "
118,"I don't think there is a problem helping a 2 year old shower. There's no way a 2 year old should be left alone in water and someone has to help her so why not dad. Now once she's old enough to do it on her own then it's time to stop. 

If she ask questions use real terms she can understand at her age. Let her know that boys and girls are different and that's ok but that we keep yourself covered around others. That no one should touch her. There's all sorts of good help. Even at a young age it's important to face the questions as they come. It helps keep children safe."
119,That's the spirit!
120,/r/nottheonion/ 
121,"I met a girl the other day and she told me, ""she really likes to listen to me talk"". I want to believe she said it without ulterior motives and it made my heart skip a beat. "
122,"""She likes me a lot more than I like myself."""
123,"Best kind of troll post. 

She got two boxes of .32acp Lehigh and a dozen Loquat Trees. EDIT: Which means I'm planting trees on Sunday.

My Ex Wife is getting a Cactus from our son. He grows her a cactus every year.  "
124,Your name is my life. Upvote. 
125,"Do you sing in the shower?

🎶 Do not diddle kids, it's no good diddlin' kids🎶

🎶I wouldn't do it with anybody younger than my daughter, not little kids, gotta be big🎶

🎶Older than my wiiiife, older than my daughter🎶"
126,This clip from Jimmy Neutron is by far the worst I've seen. https://youtu.be/ojcLM7fkkKc
127,I don't date them.
128,If you wait to be ready for everything you'll never do anything.
129,"I did this to an ex after she cheated on me. I didn't spit in her mouth, but she was really vanilla in bed and when she tried to use sex to get me back, I fucked her like the little slut she is. Sadly in a 4 year relationship, that was the only time we did some things. 10/10 would recommend. When I was done fucking her, I told her to gtfo my house and never talked to her again. "
130,"I am not American, but as long as you're not uncomfortable, I think you should do it until she doesn't want to anymore. It shows her that the naked body is nothing one must be ashamed of. I can only imagine if I was raised like that, how difficult/shamefull it would have been to undress in front of a doctor..."
131,"No, it feels great not having Facebook constantly remind me of how ""great"" everyone else's lives are. Plus, Facebook's privacy concerns me."
132,"Actually using someone else's hand to jerk me off instead of my own left hand. 

I'm going to hell, I know. /s"
133,"I wonder what it would be like to have sex from the girl's point of view. That said, I'm a guy so I'll never really know. "
134,When did breast feeding become inappropriate?? That's the point of breasts! To feed babies! 
135,"Fuck it.

 Spend one week evaporating salt water and collecting the salt. 

Kill everyone stranded with you straight away in a battle royal type scenario.

 Win. 

Salt human meat so it lasts.

??????

Profit."
136,RIP lol
137,"why, is it because she's a massive prick?"
138,"""So I used the cousin thing, as like, an in with her. I'm not like, gonna let someone else fuck my cousin, you know? If anyone's gonna fuck my cousin, it's gonna be me. Out of respect""
"
139,[deleted]
140,"The cervix, probably."
141,"""Shit, she's been going at it for close to 10 minutes now, and I'm still nowhere near cumming.""

All these years being single murdered my sensitivity "
142,The Autism Cheat Book for the Socially Impaired
143,"&gt;There's no risk of harming the baby, and sex can actually help stimulate the onset of labour, once she's near-term (relief!)

I was 4 weeks early because my dad got a little rough...

Thanks Mom, I did not want to know that. "
144,The idea that men are only kind to women because they want sex.
145,Honestly it's weird as fuck. Just ask me whatever you want and I will tell you the truth because I'm a grown up. If my word isn't good enough then fuck off. 
146,"&gt; I was 4 weeks early because my dad got a little rough...

Did a double-take on this one."
147,"The vast majority of women I've known are fine going from flirty to friends, but the other direction is *much* more difficult."
148,"&gt;If you are female, the odds are that you are more attractive than you think, so try flirting with some better-looking men.

ree"
149,"More of a sex act than a thought but was once having crazy sex with my ex (girlfriend at the time) and got her squirting nonstop and she completely drenched my couch and was just like ""i'm sorry baby"" but i was fine with it as i was insanely turned on. We moved to the carpet/bedroom/shower it was just a complete and utter sex marathon all over the house fucking like rabbits. At one point I lied on the kitchen floor and had her squirt into my mouth and i gulped it all up and swallowed it down. Looking back its kinda gross as those secretions are mostly urine. I wiped my couch down with my PJ bottoms and the next morning they reeked of pee. Looking back its a little grody but she was lovely, cool as shit, I loved her and it turned me on to an insane degree. Definitely the best sex i've ever had in my life so far but kinda gross too haha."
150,every fucking year
151,Zoinks!
152,"There is ""I don't know you well enough to trust you completely"" which makes sense. This is more of a ""I am paranoid and don't trust anyone about anything""."
153,"Con: you don't have someone there all the time.

Pro: you don't have someone there all the time."
154,We tend to aim for light insults.
155,"""The relationship was bad so I cheated"" "
156,"Everybody needs to watch Nina Hartley's video on how to eat pussy. 

Here you go: 

https://www.xvideos.com/video531677/milf_nina_hartley_teaches_how_to_eat_pussy

You're welcome. "
157,"The most normal and mundane thing in the world. Humans aren't machines, sex is a complex cocktail of many factors, and so not everyone is feeling it every time. 

Above all, the bedroom should be a place free of pressure, including the pressure to pop every time. "
158,The worse version of this:  Zodiac signs.  Because the stars and planets made you cranky today.  Uh huh.
159,"I can't think of anything that bad. And we've gotten in fights, some real ragers, but I honestly can't remember anything that hurtful.

And now I'm thinking.... do I really want to dig in my memory to find something?  "
160,"My roommate is a baby.

Coming to you on nbc weekdays at 7."
161,so basically you didnt follow the guidelines of the post
162,ya'll ghetto AF.
163,"Here are some things that cause instant attraction for me:

* Immediate spark where we click so well with each other.

* Genuine interest in what I am saying.

* Strong passion for something.

* Confidence.

* Cheerful and bubbly personality.

* A certain sweetness in her demeanor.

* Bright and beautiful smile.

* Incredible physical beauty.

All of these are things I noticed in my fiancée."
164,"Wife chiming in...


That's exactly it. MIL is a bit traditional in her thinking and tends to view nudity as sexual. She was offended by my breastfeeding our daughter as well. I should mention that MIL is from the deep South and religion may play a role in her thinking. I don't hold it against her but I don't agree either. Our kid, our way of parenting.

 When our daughter is old enough to comprehend that daddy has a penis, mommy and daughter have vaginas, then, sure, it's time for solo showers. But right now it's a matter of convenience since she's a baby that can't bathe herself- since it's not sexual it doesn't matter which parent is bathing her. "
165,"My current SO once told me he never thought he would ever love me. 

Two years without me seemed to change his mind though."
166,"Why - Because lots of sex with lots of beautiful women is fun. Same reason anyone has sex. I did it because I enjoy it and because I could. 

It hasn't affected my ability to be a 1 girl type of guy though. Sure I look at other women and think of other women when I am alone but that's all I do. I'm only physically intimate with my girlfriend because 1) I love her. 2) When I entered a relationship with my girlfriend I became a part of a mutual contract which is I promise not to get physical or intimate with anyone else. 

I promised my girlfriend this. I ain't no liar, bruh."
167,"Sex during a divorce is awesome. It feels like there is no love involved, just primal urges that need to be satisfied. The first time we did it after filing for divorce she said, ""This doesn't mean anything."" I just flipped her over and kept fucking her. It was easily the some of the most enjoyable sex I'd had since we were dating."
168,"Nice try, Scientology. You'll get nothing from me"
169,"While the logical part of my brain agrees you are right, the emotional part of my brain would just not want to know my husband was feeling like that. I know myself, and I know that all I'd be able to think about after would be ""He might not admit it, even to himself, but he's just waiting for me to die already so he can move on with his life."" "
170,"""Hey bro, would you be prepared to knock a thousand dollars off the price of the car if I give you a reach-around""?"
171,"Just one. I read somewhere that the color of women's lips is the same as the color of their labias. I can't unthink it. It's stupid and mostly not true, but I still think about it automatically. It's tiresome."
172,This was actually really useful lmao thanks man 
173,My daughter does this with mine; it makes my skin crawl a little bit. Thankfully she is getting better.
174,YOU'RE MY BOY BLUE
175,"I can only speak for my company, but here we're given a budget for the department at raise time.

If someone gets a giant raise, that means someone else gets the shaft to stay within the salary increase budget.  There's variance in performance of course, but we don't really have any *low* performers that would deserve a bad review and a shitty raise.  Those people just get replaced.

So you have a few people who do deserve a big raise, but nobody to screw over to pay for the raise.  That keeps the top performers' raises within a percent or two of the rest of the pack."
176,"Unless you are dating a burn victim/amputee someone is probably after it. Your girl is the gatekeeper. If she isn't a trustworthy gatekeeper, move on. "
177,I've only ever been dumped for this reason. That's why I gave up 
178,"Like any food. Pickle, peanut, meatball, chicken nugget, grilled salmon filet, medium rare steak, reese's puff... really anything. "
